p1_fighter,p2_fighter,p1_KD,p2_KD,p1_SIG_STR_PCT,p2_SIG_STR_PCT,p1_TD_PCT,p2_TD_PCT,p1_SUB_ATT,p2_SUB_ATT,p1_REV,p2_REV,p1_CTRL,p2_CTRL,p1_R1_KD,p2_R1_KD,p1_R1_SIG_STR_PCT,p2_R1_SIG_STR_PCT,p1_R1_TD_PCT,p2_R1_TD_PCT,p1_R1_SUB_ATT,p2_R1_SUB_ATT,p1_R1_REV,p2_R1_REV,p1_R1_CTRL,p2_R1_CTRL,p1_SIG_STR_PCT_DETAILED,p2_SIG_STR_PCT_DETAILED,p1_R1_SIG_STR_PCT_DETAILED,p2_R1_SIG_STR_PCT_DETAILED,method,referee,winner,event_date,p1_SIG_STR_LANDED,p1_SIG_STR_ATTEMPTED,p2_SIG_STR_LANDED,p2_SIG_STR_ATTEMPTED,p1_TOTAL_STR_LANDED,p1_TOTAL_STR_ATTEMPTED,p2_TOTAL_STR_LANDED,p2_TOTAL_STR_ATTEMPTED,p1_TD_LANDED,p1_TD_ATTEMPTED,p2_TD_LANDED,p2_TD_ATTEMPTED,p1_R1_SIG_STR_LANDED,p1_R1_SIG_STR_ATTEMPTED,p2_R1_SIG_STR_LANDED,p2_R1_SIG_STR_ATTEMPTED,p1_R1_TOTAL_STR_LANDED,p1_R1_TOTAL_STR_ATTEMPTED,p2_R1_TOTAL_STR_LANDED,p2_R1_TOTAL_STR_ATTEMPTED,p1_R1_TD_LANDED,p1_R1_TD_ATTEMPTED,p2_R1_TD_LANDED,p2_R1_TD_ATTEMPTED,p1_HEAD_LANDED,p1_HEAD_ATTEMPTED,p2_HEAD_LANDED,p2_HEAD_ATTEMPTED,p1_BODY_LANDED,p1_BODY_ATTEMPTED,p2_BODY_LANDED,p2_BODY_ATTEMPTED,p1_LEG_LANDED,p1_LEG_ATTEMPTED,p2_LEG_LANDED,p2_LEG_ATTEMPTED,p1_DISTANCE_LANDED,p1_DISTANCE_ATTEMPTED,p2_DISTANCE_LANDED,p2_DISTANCE_ATTEMPTED,p1_CLINCH_LANDED,p1_CLINCH_ATTEMPTED,p2_CLINCH_LANDED,p2_CLINCH_ATTEMPTED,p1_GROUND_LANDED,p1_GROUND_ATTEMPTED,p2_GROUND_LANDED,p2_GROUND_ATTEMPTED,p1_R1_HEAD_LANDED,p1_R1_HEAD_ATTEMPTED,p2_R1_HEAD_LANDED,p2_R1_HEAD_ATTEMPTED,p1_R1_BODY_LANDED,p1_R1_BODY_ATTEMPTED,p2_R1_BODY_LANDED,p2_R1_BODY_ATTEMPTED,p1_R1_LEG_LANDED,p1_R1_LEG_ATTEMPTED,p2_R1_LEG_LANDED,p2_R1_LEG_ATTEMPTED,p1_R1_DISTANCE_LANDED,p1_R1_DISTANCE_ATTEMPTED,p2_R1_DISTANCE_LANDED,p2_R1_DISTANCE_ATTEMPTED,p1_R1_CLINCH_LANDED,p1_R1_CLINCH_ATTEMPTED,p2_R1_CLINCH_LANDED,p2_R1_CLINCH_ATTEMPTED,p1_R1_GROUND_LANDED,p1_R1_GROUND_ATTEMPTED,p2_R1_GROUND_LANDED,p2_R1_GROUND_ATTEMPTED,p1_height,p1_weight,p1_reach,p1_stance,p1_dob,p1_SLpM,p1_Str. Acc.,p1_SApM,p1_Str. Def,p1_TD Avg.,p1_TD Acc.,p1_TD Def.,p1_Sub. Avg.,p2_height,p2_weight,p2_reach,p2_stance,p2_dob,p2_SLpM,p2_Str. Acc.,p2_SApM,p2_Str. Def,p2_TD Avg.,p2_TD Acc.,p2_TD Def.,p2_Sub. Avg.
Belal Muhammad,Jack Della Maddalena,0,0,0.41,0.52,0.33,0.0,0,0,0,0,201,40,0,0,0.42,0.45,0.0,,0,0,0,0,4,0,0.41,0.52,0.42,0.45,Decision - Unanimous,Jason Herzog,0,2025-05-10,132,318,178,342,155,349,200,364,3,9,0,3,21,49,28,61,21,49,28,61,0,1,0,0,119,297,113,254,11,18,47,65,2,3,18,23,116,295,167,326,14,21,11,16,2,2,0,0,15,40,14,39,5,8,7,11,1,1,7,11,18,46,27,58,3,3,1,3,0,0,0,0,71.0,170.0,72.0,Orthodox,1988-07-09,4.46,0.43,3.78,0.55,2.24,0.38,0.9,0.1,71.0,170.0,73.0,Switch,1996-09-10,6.84,0.52,4.53,0.64,0.16,0.11,0.69,0.2
Valentina Shevchenko,Manon Fiorot,1,0,0.48,0.44,0.22,0.08,0,0,0,0,112,427,0,0,0.52,0.4,1.0,,0,0,0,0,94,0,0.48,0.44,0.52,0.4,Decision - Unanimous,Marc Goddard,1,2025-05-10,72,149,71,160,173,251,150,239,2,9,1,12,19,36,13,32,57,75,20,39,1,1,0,0,48,118,29,113,7,12,35,37,17,19,7,10,62,126,40,124,7,18,29,33,3,5,2,3,15,31,6,25,0,1,5,5,4,4,2,2,18,35,13,32,0,0,0,0,1,1,0,0,65.0,125.0,66.0,Southpaw,1988-03-07,3.14,0.52,2.06,0.63,2.62,0.6,0.75,0.3,67.0,125.0,65.0,Orthodox,1990-02-17,5.58,0.41,3.59,0.66,1.06,0.29,0.87,0.0
Jose Aldo,Aiemann Zahabi,1,0,0.4,0.49,0.0,,0,0,0,0,2,158,0,0,0.38,0.45,,,0,0,0,0,0,0,0.4,0.49,0.38,0.45,Decision - Unanimous,Dan Miragliotta,0,2025-05-10,68,167,99,199,71,170,109,209,0,1,0,0,23,59,21,46,23,59,21,46,0,0,0,0,48,135,79,167,13,25,14,22,7,7,6,10,67,166,66,151,0,0,8,11,1,1,25,37,12,42,15,39,6,12,4,5,5,5,2,2,23,59,18,43,0,0,3,3,0,0,0,0,67.0,135.0,70.0,Orthodox,1986-09-09,3.65,0.46,3.81,0.6,0.47,0.51,0.92,0.1,68.0,135.0,68.0,Orthodox,1987-11-19,4.42,0.46,4.13,0.69,0.14,0.14,0.83,0.0
Alexa Grasso,Natalia Silva,0,0,0.32,0.39,0.0,,0,0,0,0,40,15,0,0,0.3,0.33,0.0,,0,0,0,0,13,0,0.32,0.39,0.3,0.33,Decision - Unanimous,Erick Philippeaux,0,2025-05-10,45,139,65,164,54,149,74,173,0,2,0,0,11,36,16,48,12,37,24,56,0,1,0,0,28,101,42,137,5,15,9,11,12,23,14,16,43,136,64,162,2,3,1,2,0,0,0,0,7,25,6,36,0,2,3,3,4,9,7,9,10,35,16,48,1,1,0,0,0,0,0,0,65.0,125.0,66.0,Orthodox,1993-08-09,4.11,0.41,3.73,0.58,0.41,0.35,0.54,0.6,64.0,125.0,65.0,Southpaw,1997-02-03,5.04,0.46,2.46,0.65,0.34,0.25,0.92,0.0
Benoit Saint Denis,Kyle Prepolec,0,0,0.77,0.44,0.6,0.0,2,0,0,0,332,7,0,0,0.62,0.0,0.66,,1,0,0,0,272,0,0.77,0.44,0.62,0.0,Submission,Luc Lefebvre,1,2025-05-10,54,70,12,27,77,103,14,29,3,5,0,1,10,16,0,1,27,43,0,1,2,3,0,0,36,51,11,26,11,12,1,1,7,7,0,0,24,33,10,24,22,24,2,3,8,13,0,0,7,13,0,1,1,1,0,0,2,2,0,0,2,3,0,1,0,0,0,0,8,13,0,0,71.0,155.0,73.0,Southpaw,1995-12-18,5.39,0.55,4.61,0.41,4.19,0.39,0.7,1.5,70.0,155.0,70.0,Southpaw,1989-08-30,2.87,0.35,5.19,0.49,0.00,0.0,0.4,0.0
Mike Malott,Charles Radtke,1,0,0.59,0.3,,,0,0,0,0,5,0,0,0,0.57,0.34,,,0,0,0,0,0,0,0.59,0.3,0.57,0.34,KO/TKO,Marc Goddard,1,2025-05-10,36,61,10,33,36,61,10,33,0,0,0,0,27,47,10,29,27,47,10,29,0,0,0,0,21,42,9,31,5,9,0,0,10,10,1,2,28,51,9,31,2,3,1,2,6,7,0,0,12,29,9,27,5,8,0,0,10,10,1,2,25,44,9,27,2,3,1,2,0,0,0,0,73.0,170.0,73.0,Orthodox,1991-11-07,4.09,0.47,2.96,0.54,2.08,0.56,0.16,0.7,69.0,170.0,72.0,Orthodox,1990-07-09,3.11,0.49,3.66,0.52,0.49,0.12,1.0,0.0
Jessica Andrade,Jasmine Jasudavicius,0,0,0.5,0.61,,0.5,0,1,0,0,0,72,0,0,0.5,0.61,,0.5,0,1,0,0,0,72,0.5,0.61,0.5,0.61,Submission,Jason Herzog,0,2025-05-10,4,8,11,18,4,8,27,37,0,0,1,2,4,8,11,18,4,8,27,37,0,0,1,2,0,3,9,16,0,0,1,1,4,5,1,1,4,8,8,15,0,0,0,0,0,0,3,3,0,3,9,16,0,0,1,1,4,5,1,1,4,8,8,15,0,0,0,0,0,0,3,3,61.0,125.0,62.0,Orthodox,1991-09-25,6.39,0.5,5.49,0.54,2.21,0.54,0.71,0.3,67.0,125.0,68.0,Orthodox,1989-03-01,3.71,0.45,3.63,0.51,2.61,0.44,0.75,0.6
Modestas Bukauskas,Ion Cutelaba,0,0,0.47,0.44,,0.0,0,0,0,0,86,141,0,0,0.35,0.36,,,0,0,0,0,0,0,0.47,0.44,0.35,0.36,Decision - Split,Dan Miragliotta,1,2025-05-10,44,92,58,130,52,100,121,194,0,0,0,4,12,34,17,46,12,34,17,46,0,0,0,0,37,85,18,74,3,3,16,19,4,4,24,37,42,90,47,117,2,2,11,13,0,0,0,0,7,29,4,26,1,1,3,4,4,4,10,16,12,34,17,46,0,0,0,0,0,0,0,0,75.0,205.0,78.0,Switch,1994-02-10,3.26,0.42,4.07,0.51,0.31,0.66,0.77,0.2,73.0,205.0,75.0,Southpaw,1993-12-14,4.26,0.43,3.34,0.47,3.77,0.49,0.75,0.1
Navajo Stirling,Ivan Erslan,1,0,0.48,0.36,0.6,0.0,0,0,0,0,181,101,0,0,0.4,0.4,,,0,0,0,0,0,0,0.48,0.36,0.4,0.4,Decision - Unanimous,Erick Philippeaux,1,2025-05-10,110,225,36,100,124,243,63,129,3,5,0,3,31,76,12,30,31,76,12,30,0,0,0,0,54,147,28,90,26,40,7,9,30,38,1,1,84,181,36,100,3,4,0,0,23,40,0,0,2,31,11,29,11,20,1,1,18,25,0,0,31,76,12,30,0,0,0,0,0,0,0,0,76.0,205.0,79.0,Orthodox,1997-11-07,6.43,0.52,2.49,0.61,1.20,0.3,0.78,0.0,74.0,205.0,72.0,Orthodox,1991-11-15,2.50,0.44,5.17,0.55,0.50,0.2,0.64,0.0
Marc-Andre Barriault,Bruno Silva,1,0,0.58,0.5,,0.0,0,0,0,0,18,0,1,0,0.58,0.5,,0.0,0,0,0,0,18,0,0.58,0.5,0.58,0.5,KO/TKO,Luc Lefebvre,1,2025-05-10,14,24,6,12,14,24,6,12,0,0,0,1,14,24,6,12,14,24,6,12,0,0,0,1,11,19,4,10,3,4,2,2,0,1,0,0,4,10,1,6,7,10,5,5,3,4,0,1,11,19,4,10,3,4,2,2,0,1,0,0,4,10,1,6,7,10,5,5,3,4,0,1,73.0,185.0,74.0,Orthodox,1990-02-18,6.02,0.47,5.57,0.52,0.21,0.25,0.67,0.1,64.0,125.0,65.0,Orthodox,1990-03-16,3.54,0.49,4.08,0.52,1.92,0.25,0.6,0.2
Marc-Andre Barriault,Bruno Silva,1,0,0.58,0.5,,0.0,0,0,0,0,18,0,1,0,0.58,0.5,,0.0,0,0,0,0,18,0,0.58,0.5,0.58,0.5,KO/TKO,Luc Lefebvre,1,2025-05-10,14,24,6,12,14,24,6,12,0,0,0,1,14,24,6,12,14,24,6,12,0,0,0,1,11,19,4,10,3,4,2,2,0,1,0,0,4,10,1,6,7,10,5,5,3,4,0,1,11,19,4,10,3,4,2,2,0,1,0,0,4,10,1,6,7,10,5,5,3,4,0,1,73.0,185.0,74.0,Orthodox,1990-02-18,6.02,0.47,5.57,0.52,0.21,0.25,0.67,0.1,72.0,185.0,74.0,Orthodox,1989-07-13,3.86,0.48,5.35,0.41,0.77,0.22,0.74,0.0
Daniel Santos,JeongYeong Lee,0,0,0.48,0.45,0.33,,0,0,0,0,366,0,0,0,0.42,0.57,0.0,,0,0,0,0,67,0,0.48,0.45,0.42,0.57,Decision - Unanimous,Marc Goddard,1,2025-05-10,90,184,68,150,119,213,107,190,6,18,0,0,33,78,35,61,40,85,35,61,0,5,0,0,59,136,40,112,18,30,16,24,13,18,12,14,82,174,65,145,1,2,3,4,7,8,0,1,20,53,16,39,6,13,10,11,7,12,9,11,33,78,34,59,0,0,1,1,0,0,0,1,67.0,145.0,67.0,Orthodox,1995-03-12,4.74,0.4,4.96,0.51,3.03,0.39,0.73,0.0,70.0,145.0,73.0,Orthodox,1995-11-13,3.38,0.49,3.82,0.5,0.63,0.66,0.72,0.3
Brad Katona,Bekzat Almakhan,0,1,0.25,0.72,,,0,0,0,0,0,2,0,1,0.25,0.72,,,0,0,0,0,0,2,0.25,0.72,0.25,0.72,KO/TKO,Jason Herzog,0,2025-05-10,1,4,8,11,1,4,8,11,0,0,0,0,1,4,8,11,1,4,8,11,0,0,0,0,1,3,7,10,0,0,1,1,0,1,0,0,1,4,6,9,0,0,0,0,0,0,2,2,1,3,7,10,0,0,1,1,0,1,0,0,1,4,6,9,0,0,0,0,0,0,2,2,66.0,135.0,64.0,Orthodox,1991-12-19,4.81,0.52,4.75,0.5,1.86,0.34,0.61,0.0,67.0,135.0,68.0,Orthodox,1997-10-08,0.68,0.4,4.29,0.32,0.00,0.0,0.0,0.0
Cory Sandhagen,Deiveson Figueiredo,0,0,0.62,0.66,1.0,0.4,0,0,1,1,307,31,0,0,0.79,1.0,1.0,0.25,0,0,0,0,217,4,0.62,0.66,0.79,1.0,KO/TKO,Dan Miragliotta,1,2025-05-03,54,87,6,9,92,149,8,11,2,2,2,5,31,39,2,2,53,78,3,3,1,1,1,4,33,65,4,6,2,2,0,0,19,20,2,3,24,43,4,7,0,0,2,2,30,44,0,0,22,30,1,1,1,1,0,0,8,8,1,1,10,13,1,1,0,0,1,1,21,26,0,0,71.0,135.0,70.0,Switch,1992-04-20,5.06,0.45,3.34,0.56,1.28,0.34,0.63,0.3,65.0,135.0,68.0,Orthodox,1987-12-18,2.82,0.54,3.64,0.49,1.69,0.35,0.58,1.4
Reinier de Ridder,Bo Nickal,1,0,0.68,0.38,0.0,1.0,0,0,0,0,129,144,0,0,0.5,0.33,0.0,1.0,0,0,0,0,112,120,0.68,0.38,0.5,0.33,KO/TKO,Mike Beltran,1,2025-05-03,22,32,8,21,91,104,24,40,0,3,1,1,5,10,2,6,43,49,17,24,0,2,1,1,9,18,2,13,13,14,4,5,0,0,2,3,7,15,3,14,15,17,5,7,0,0,0,0,2,7,1,5,3,3,1,1,0,0,0,0,1,5,0,4,4,5,2,2,0,0,0,0,76.0,185.0,78.0,Southpaw,1990-09-07,3.25,0.6,2.21,0.44,4.74,0.38,0.66,1.4,73.0,185.0,76.0,Southpaw,1996-01-14,2.36,0.59,2.11,0.58,3.34,0.53,1.0,2.9
Santiago Ponzinibbio,Daniel Rodriguez,0,1,0.44,0.39,0.12,,0,0,0,0,44,8,0,0,0.42,0.43,0.0,,0,0,0,0,2,7,0.44,0.39,0.42,0.43,KO/TKO,Kevin MacDonald,0,2025-05-03,49,111,66,166,50,115,70,170,1,8,0,0,15,35,35,81,15,35,35,81,0,2,0,0,31,83,39,131,6,16,20,25,12,12,7,10,49,111,64,164,0,0,1,1,0,0,1,1,5,19,20,61,3,9,13,16,7,7,2,4,15,35,34,80,0,0,1,1,0,0,0,0,72.0,170.0,73.0,Orthodox,1986-09-26,4.78,0.41,4.68,0.61,0.60,0.27,0.71,0.0,73.0,170.0,74.0,Southpaw,1986-12-31,7.39,0.48,5.39,0.57,0.55,0.54,0.63,0.1
Montel Jackson,Daniel Marcos,0,0,0.45,0.53,0.25,0.42,1,0,0,0,217,345,0,0,0.33,0.57,0.25,1.0,0,0,0,0,127,86,0.45,0.53,0.33,0.57,Decision - Unanimous,Gary Copeland,1,2025-05-03,30,66,17,32,67,106,24,43,2,8,3,7,4,12,4,7,22,31,7,11,1,4,1,1,25,58,5,18,1,3,5,7,4,5,7,7,27,62,13,27,3,4,3,4,0,0,1,1,2,8,2,4,1,2,1,2,1,2,1,1,3,11,3,6,1,1,1,1,0,0,0,0,70.0,135.0,75.0,Southpaw,1992-04-24,3.22,0.53,1.39,0.62,3.24,0.62,0.68,0.4,67.0,135.0,69.0,Orthodox,1993-03-07,5.11,0.53,3.88,0.61,0.99,0.46,0.84,0.0
Cameron Smotherman,Serhiy Sidey,0,0,0.43,0.41,,0.41,0,1,0,0,0,252,0,0,0.51,0.54,,0.0,0,0,0,0,0,55,0.43,0.41,0.51,0.54,Decision - Unanimous,Dan Miragliotta,0,2025-05-03,58,134,55,132,61,137,66,149,0,0,5,12,22,43,27,50,25,46,28,51,0,0,0,1,43,114,30,98,15,20,15,22,0,0,10,12,53,124,49,122,5,10,6,10,0,0,0,0,16,34,12,33,6,9,7,8,0,0,8,9,22,40,23,45,0,3,4,5,0,0,0,0,69.0,135.0,69.0,Orthodox,1997-09-17,5.10,0.39,4.13,0.59,0.00,0.0,0.57,0.0,71.0,135.0,72.0,Switch,1996-07-04,4.49,0.39,4.26,0.54,1.58,0.25,0.2,1.3
Jeremy Stephens,Mason Jones,0,0,0.38,0.35,,0.66,0,0,0,0,11,363,0,0,0.44,0.37,,1.0,0,0,0,0,0,43,0.38,0.35,0.44,0.37,Decision - Unanimous,Mike Beltran,0,2025-05-03,42,108,81,231,54,126,104,261,0,0,8,12,21,47,39,103,24,53,41,108,0,0,2,2,19,79,50,188,7,11,19,28,16,18,12,15,41,105,74,220,1,3,5,7,0,0,2,4,6,28,22,80,3,6,9,13,12,13,8,10,20,45,36,100,1,2,3,3,0,0,0,0,69.0,155.0,71.0,Orthodox,1986-05-25,3.15,0.4,3.14,0.58,1.11,0.38,0.62,0.4,70.0,155.0,74.0,Orthodox,1995-04-26,5.56,0.41,4.46,0.48,4.24,0.52,0.8,0.0
Yana Santos,Miesha Tate,0,0,0.56,0.34,0.0,0.14,0,0,0,0,46,305,0,0,0.5,0.4,0.0,0.0,0,0,0,0,25,47,0.56,0.34,0.5,0.4,Decision - Unanimous,Kevin MacDonald,1,2025-05-03,66,117,40,115,87,143,108,204,0,1,1,7,31,61,22,55,43,76,33,72,0,1,0,2,37,87,25,88,15,16,8,17,14,14,7,10,47,96,29,100,19,21,8,10,0,0,3,5,14,44,14,43,9,9,4,7,8,8,4,5,19,47,20,52,12,14,2,3,0,0,0,0,66.0,135.0,68.0,Orthodox,1989-11-11,4.42,0.58,3.07,0.52,0.87,0.5,0.53,0.1,66.0,135.0,65.0,Orthodox,1986-08-18,2.62,0.44,3.05,0.51,1.97,0.3,0.56,1.2
Ryan Loder,Azamat Bekoev,0,2,0.52,0.5,0.0,0.0,0,0,0,0,13,64,0,2,0.52,0.5,0.0,0.0,0,0,0,0,13,64,0.52,0.5,0.52,0.5,KO/TKO,Gary Copeland,0,2025-05-03,13,25,23,46,15,27,39,66,0,4,0,1,13,25,23,46,15,27,39,66,0,4,0,1,6,15,21,42,7,10,2,4,0,0,0,0,6,17,17,31,7,8,5,11,0,0,1,4,6,15,21,42,7,10,2,4,0,0,0,0,6,17,17,31,7,8,5,11,0,0,1,4,74.0,185.0,76.0,Southpaw,1991-06-05,5.76,0.71,2.51,0.5,1.57,0.14,1.0,1.6,72.0,185.0,72.0,Orthodox,1995-12-30,7.59,0.61,4.48,0.46,2.59,0.33,1.0,0.0
Marina Rodriguez,Gillian Robertson,0,0,0.23,0.39,,0.66,1,0,0,0,0,321,0,0,0.15,0.44,,0.5,0,0,0,0,0,214,0.23,0.39,0.15,0.44,KO/TKO,Bruce Allen,0,2025-05-03,4,17,16,41,7,20,73,120,0,0,2,3,2,13,11,25,5,16,42,63,0,0,1,2,3,14,12,32,1,3,2,6,0,0,2,3,4,17,6,20,0,0,0,0,0,0,10,21,2,11,7,17,0,2,2,5,0,0,2,3,2,13,6,17,0,0,0,0,0,0,5,8,66.0,115.0,65.0,Orthodox,1987-04-29,4.51,0.46,3.01,0.55,0.27,0.5,0.61,0.3,65.0,115.0,63.0,Orthodox,1995-05-17,2.86,0.48,2.86,0.56,2.74,0.4,0.41,0.9
Gaston Bolanos,Quang Le,0,0,0.25,0.71,,0.57,0,1,0,0,0,346,0,0,0.0,0.66,,0.6,0,0,0,0,0,264,0.25,0.71,0.0,0.66,Submission,Tyrone Roberts,0,2025-05-03,5,20,10,14,8,23,33,38,0,0,4,7,0,4,2,3,3,7,20,21,0,0,3,5,1,11,9,13,1,2,1,1,3,7,0,0,5,20,10,14,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,2,0,0,0,4,2,3,0,0,0,0,0,0,0,0,67.0,135.0,69.0,Orthodox,1992-09-14,3.28,0.49,2.40,0.5,0.66,1.0,0.42,0.0,66.0,135.0,70.0,Orthodox,1991-10-18,2.70,0.37,4.53,0.47,3.15,0.35,1.0,0.5
Thomas Petersen,Don'Tale Mayes,0,0,0.54,0.27,1.0,,1,0,0,0,829,0,0,0,0.33,0.2,1.0,,1,0,0,0,274,0,0.54,0.27,0.33,0.2,Decision - Unanimous,Bruce Allen,1,2025-05-03,28,51,3,11,105,166,13,23,9,9,0,0,1,3,1,5,12,19,9,15,3,3,0,0,28,51,1,8,0,0,2,3,0,0,0,0,1,5,3,11,1,1,0,0,26,45,0,0,1,3,1,5,0,0,0,0,0,0,0,0,0,2,1,5,0,0,0,0,1,1,0,0,73.0,264.0,74.0,Southpaw,1995-03-30,3.74,0.59,2.94,0.57,4.42,0.66,1.0,0.6,78.0,260.0,81.0,Orthodox,1992-01-16,3.22,0.43,3.61,0.46,0.59,0.38,0.46,0.0
Juliana Miller,Ivana Petrovic,0,0,0.4,0.47,0.33,0.2,0,0,0,0,490,167,0,0,0.33,0.58,0.0,0.33,0,0,0,0,124,108,0.4,0.47,0.33,0.58,Decision - Unanimous,Tyrone Roberts,1,2025-05-03,22,55,25,53,54,101,57,87,3,9,1,5,4,12,7,12,11,20,32,39,0,2,1,3,11,41,8,33,8,11,9,12,3,3,8,8,16,46,25,53,1,3,0,0,5,6,0,0,4,12,0,3,0,0,2,4,0,0,5,5,3,9,7,12,1,3,0,0,0,0,0,0,67.0,125.0,66.0,Orthodox,1996-05-07,2.73,0.44,3.78,0.36,2.20,0.38,0.44,1.3,68.0,125.0,70.0,Southpaw,1994-06-11,1.91,0.41,2.05,0.56,2.12,0.38,0.61,0.8
Ian Machado Garry,Carlos Prates,0,0,0.52,0.48,0.21,,0,0,0,0,189,106,0,0,0.38,0.43,0.0,,0,0,0,0,12,2,0.52,0.48,0.38,0.43,Decision - Unanimous,Dan Miragliotta,1,2025-04-26,126,242,63,129,141,259,64,132,4,19,0,0,15,39,7,16,15,39,7,16,0,1,0,0,86,185,38,97,17,28,16,21,23,29,9,11,120,231,50,114,2,6,1,2,4,5,12,13,8,25,2,8,3,7,2,3,4,7,3,5,11,34,7,16,0,0,0,0,4,5,0,0,75.0,170.0,74.0,Orthodox,1997-11-17,4.77,0.54,2.77,0.51,1.02,0.33,0.73,0.4,73.0,170.0,78.0,Switch,1993-08-17,3.60,0.54,4.79,0.48,0.25,1.0,0.83,0.0
Anthony Smith,Zhang Mingyang,0,0,0.47,0.77,0.0,,0,0,0,0,16,88,0,0,0.47,0.77,0.0,,0,0,0,0,16,88,0.47,0.77,0.47,0.77,KO/TKO,Jason Herzog,0,2025-04-26,10,21,63,81,11,22,76,97,0,1,0,0,10,21,63,81,11,22,76,97,0,1,0,0,8,18,42,58,2,3,6,8,0,0,15,15,10,21,35,46,0,0,3,4,0,0,25,31,8,18,42,58,2,3,6,8,0,0,15,15,10,21,35,46,0,0,3,4,0,0,25,31,76.0,205.0,76.0,Orthodox,1988-07-26,3.19,0.49,5.04,0.44,0.44,0.22,0.5,0.6,74.0,205.0,75.0,Orthodox,1998-08-16,10.91,0.64,4.55,0.53,0.00,0.0,0.5,0.0
Giga Chikadze,David Onama,0,0,0.47,0.56,,1.0,0,0,0,0,0,375,0,0,0.48,0.5,,1.0,0,0,0,0,0,44,0.47,0.56,0.48,0.5,Decision - Unanimous,Keith Peterson,0,2025-04-26,43,91,49,87,71,127,72,127,0,0,3,3,21,43,13,26,26,48,13,30,0,0,1,1,23,66,29,55,8,11,1,6,12,14,19,26,40,88,38,75,2,2,1,1,1,1,10,11,9,26,9,17,4,7,0,2,8,10,4,7,21,43,13,26,0,0,0,0,0,0,0,0,72.0,145.0,74.0,Orthodox,1988-08-25,3.82,0.42,3.48,0.6,0.19,0.33,0.65,0.2,71.0,145.0,74.0,Orthodox,1994-06-07,5.24,0.5,4.73,0.52,1.08,0.3,0.52,0.5
Michel Pereira,Abus Magomedov,0,0,0.43,0.58,,0.25,0,0,0,0,24,61,0,0,0.35,0.58,,1.0,0,0,0,0,0,52,0.43,0.58,0.35,0.58,Decision - Unanimous,Nick Berens,0,2025-04-26,73,168,78,134,74,169,83,140,0,0,1,4,7,20,18,31,7,20,23,37,0,0,1,1,27,90,53,99,27,50,19,29,19,28,6,6,72,166,72,128,1,2,3,3,0,0,3,3,0,4,10,23,4,9,5,5,3,7,3,3,7,20,13,26,0,0,2,2,0,0,3,3,73.0,185.0,73.0,Orthodox,1993-10-06,4.50,0.52,4.33,0.51,1.14,0.52,0.76,0.7,74.0,185.0,78.0,Orthodox,1990-09-02,3.21,0.48,3.68,0.56,2.65,0.57,1.0,0.2
Randy Brown,Nicolas Dalby,1,1,0.47,0.35,,,0,0,0,0,3,82,0,1,0.42,0.38,,,0,0,0,0,0,82,0.47,0.35,0.42,0.38,KO/TKO,Keith Peterson,1,2025-04-26,54,114,26,74,58,118,40,90,0,0,0,0,22,52,15,39,26,56,29,55,0,0,0,0,45,103,12,52,5,7,1,3,4,4,13,19,54,114,25,72,0,0,0,0,0,0,1,2,19,48,6,23,1,2,0,1,2,2,9,15,22,52,14,37,0,0,0,0,0,0,1,2,75.0,170.0,78.0,Orthodox,1990-07-08,4.47,0.47,3.26,0.54,0.79,0.39,0.73,0.6,71.0,170.0,74.0,Orthodox,1984-11-16,4.05,0.43,3.69,0.52,0.98,0.27,0.58,0.1
Ikram Aliskerov,Andre Muniz,1,0,0.64,0.44,,0.0,0,0,0,0,32,0,1,0,0.64,0.44,,0.0,0,0,0,0,32,0,0.64,0.44,0.64,0.44,KO/TKO,Jason Herzog,1,2025-04-26,44,68,16,36,55,80,16,36,0,0,0,1,44,68,16,36,55,80,16,36,0,0,0,1,26,46,6,23,10,13,6,9,8,9,4,4,25,44,16,36,1,1,0,0,18,23,0,0,26,46,6,23,10,13,6,9,8,9,4,4,25,44,16,36,1,1,0,0,18,23,0,0,72.0,185.0,76.0,Southpaw,1992-12-07,7.76,0.62,5.78,0.41,1.14,0.33,1.0,1.1,73.0,185.0,78.0,Southpaw,1990-02-17,2.04,0.49,2.33,0.51,4.02,0.49,0.35,1.2
Matt Schnell,Jimmy Flick,0,0,0.57,0.6,,0.71,3,1,1,1,233,508,0,0,0.4,0.72,,0.66,0,0,0,0,0,221,0.57,0.6,0.4,0.72,Decision - Unanimous,Dan Miragliotta,1,2025-04-26,35,61,12,20,88,117,48,60,0,0,5,7,6,15,8,11,20,30,33,37,0,0,2,3,33,58,8,13,1,1,0,2,1,2,4,5,12,34,8,16,4,4,2,2,19,23,2,2,5,14,4,5,1,1,0,1,0,0,4,5,6,15,7,10,0,0,0,0,0,0,1,1,68.0,125.0,70.0,Orthodox,1990-01-15,4.13,0.4,4.17,0.55,0.49,0.4,0.43,1.2,67.0,125.0,68.0,Orthodox,1990-09-07,1.67,0.5,4.70,0.43,2.36,0.33,0.0,3.5
